Comment,Designator,Footprint,LCSC,Quantity
100k,"R3,R5",R_0603_1608Metric,C25803,2
1k,R4,R_0603_1608Metric,C21190,1
22uF,"C1,C2",C_0603_1608Metric,C59461,2
22uH,L1,L_Sunlord_MWSA0624S,C408436,1
300K,R1,R_0603_1608Metric,C23024,1
39K,R2,R_0603_1608Metric,C23153,1
47uF,"C3,C4",C_0805_2012Metric,C16780,2
Battery_Cell,BT1,BatteryHolder_MYOUNG_BH-21700-B1BJ001_1x21700,C20606791,1
Conn_01x02,"J4,J5",Molex_PicoBlade_53261-0271_1x02-1MP_P1.25mm_Horizontal,C2905009,2
Conn_01x04,J6,PinSocket_1x04_P2.54mm_Vertical_SMD_Pin1Right,C42379197,1
Conn_01x07_Socket,"J2,J3",PinSocket_1x07_P2.54mm_Vertical_SMD_Pin1Left,C42379199,2
Conn_Coaxial,J1,SMA_Samtec_SMA-J-P-H-ST-EM1_EdgeMount,C5250058,1
E22-900M30S,U2,XCVR_E22-900M30S,C411294,1
MT3608,U1,SOT-23-6,C2932326,1
SS34,"D1,D3",D_SMA,C8678,2
SW_Push,SW1,SW_Push_1P1T_XKB_TS-1187A,C318884,1
AO3401A,Q1,SOT-23,,1
